stage,dataset,check,n_affected,n_total,share_affected,action,justification,timestamp_utc,departments,encoding_used,estado_values,condicion_values,n_strata,weight_sum,universe_population,n_districts_below_k_points,direct_coverage_threshold
validation,boundaries,carga de polígonos distritales,1873,1873,1.0,distritos retenidos para el alcance 'national',HDX v01 (valid_on 2020-07-14) trae 1873 distritos; se filtra a los 25 departamentos del alcance,2026-09-08T01:04:24+00:00,AMAZONAS;ANCASH;APURIMAC;AREQUIPA;AYACUCHO;CAJAMARCA;CALLAO;CUSCO;HUANCAVELICA;HUANUCO;ICA;JUNIN;LA LIBERTAD;LAMBAYEQUE;LIMA;LORETO;MADRE DE DIOS;MOQUEGUA;PASCO;PIURA;PUNO;SAN MARTIN;TACNA;TUMBES;UCAYALI,,,,,,,,
validation,renipress,codificación del archivo,0,26850,0.0,archivo decodificado con 'utf-8',"se probaron utf-8, utf-8-sig, latin-1 y cp1252 en orden; 0 campos con síntomas de doble codificación",2026-09-08T01:04:24+00:00,,utf-8,,,,,,,
validation,renipress,pérdida de caracteres no ASCII en el origen,623,26850,0.023203,se reporta y no se repara,"el archivo publicado no contiene ni un solo byte de 'ñ' ni de vocal acentuada en ninguna codificación: el sistema de origen exportó reemplazando cada carácter no ASCII por '?', pérdida irreversible (no es mojibake, que sí sería recuperable). Reconstruir 'SE?OR' como 'SEÑOR' es una inferencia y en casos como 'MAR?A' sería una invención, así que no se repara. Sin impacto analítico: los nombres son solo de presentación y ningún cruce los usa como clave —los cruces van por COD_IPRESS y UBIGEO",2026-09-08T01:04:24+00:00,,,,,,,,,
validation,renipress,códigos de establecimiento duplicados,0,26850,0.0,se conserva la primera aparición y se descartan las repetidas,clave declarada en config.md: ['COD_IPRESS'],2026-09-08T01:04:25+00:00,,,,,,,,,
validation,renipress,filtro de alcance geográfico,0,26850,0.0,descartadas IPRESS fuera del alcance 'national',"alcance activo: AMAZONAS, ANCASH, APURIMAC, AREQUIPA, AYACUCHO, CAJAMARCA, CALLAO, CUSCO, HUANCAVELICA, HUANUCO, ICA, JUNIN, LA LIBERTAD, LAMBAYEQUE, LIMA, LORETO, MADRE DE DIOS, MOQUEGUA, PASCO, PIURA, PUNO, SAN MARTIN, TACNA, TUMBES, UCAYALI",2026-09-08T01:04:25+00:00,,,,,,,,,
validation,renipress,definición de establecimiento operativo,70,26850,0.002607,"marcados como no operativos (no se eliminan, se excluyen del ruteo)","ESTADO es 'ACTIVO' en el 100% de los registros y SITUACION es 'REGISTRADO' en el 100%, por lo que el único campo con poder discriminante es CONDICION. Se documenta como limitación: RENIPRESS publicado no permite identificar cierres.",2026-09-08T01:04:25+00:00,,,ACTIVO,ACTIVO;ANOTACION;INOPERATIVO,,,,,
validation,renipress,categorías sin dato válido,4894,26850,0.182272,tratadas como no resolutivas,CATEGORIA = '0' no corresponde a ninguna categoría de la NT 021-MINSA; asumir resolutividad sobreestimaría la oferta,2026-09-08T01:04:25+00:00,,,,,,,,,
validation,renipress,"coordenadas nulas, vacías o cero",7067,26850,0.263203,marcadas para recuperación por capital distrital,"una coordenada (0,0) es el Golfo de Guinea, no un error recuperable por reproyección; se trata igual que un nulo",2026-09-08T01:04:25+00:00,,,,,,,,,
validation,renipress,latitud/longitud intercambiadas,0,26850,0.0,"par (lat, lon) invertido",se invierte solo cuando el par original cae fuera del bbox del Perú y el par invertido cae dentro; el criterio es no ambiguo porque el Perú no interseca su propio bbox transpuesto,2026-09-08T01:04:25+00:00,,,,,,,,,
validation,renipress,puntos fuera del bounding box del Perú,0,26850,0.0,coordenadas anuladas y enviadas a recuperación,"bbox declarado en config.md: (-81.4, -18.4, -68.6, -0.04)",2026-09-08T01:04:25+00:00,,,,,,,,,
validation,renipress,punto fuera del polígono distrital declarado,603,19783,0.030481,"marcado, no descartado","tolerancia de 0.02° (~2.2 km) para bordes; el desacuerdo puede venir del polígono (HDX 2020) o del UBIGEO declarado, así que descartar sesgaría hacia distritos con límites desactualizados",2026-09-08T01:04:36+00:00,,,,,,,,,
